Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Satisfaction_Weighted_Salary,YearsSincePromotion,TenurePerf,IncomeAgeRatio,ExperienceLevel,CareerProgress,SalaryPerLevel,PromotionRate,Increment,FutureSalary,LogFutureSalary,Performance_Experience,Satisfaction_Experience,Performance_Satisfaction,poly_0,poly_1,poly_2,poly_3,poly_4,LogMonthlyIncome,Performance_Tenure,Income_Level,P_Stay
41.0,1.0,2.0,1102.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,94.0,3.0,2.0,7.0,4.0,2.0,5993.0,19479.0,8.0,0.0,1.0,11.0,3.0,1.0,80.0,0.0,8.0,0.0,1.0,6.0,4.0,0.0,5.0,5993.0,6.0,18.0,146.17073170731706,0.1951219512195122,0.25,2996.5,0.0,1.05,6292.650000000001,8.747296467562094,18.0,24.0,12.0,5993.0,6.0,35916049.0,35958.0,36.0,8.69851424787661,18.0,2996.5,0.29810847253418693
49.0,0.0,1.0,279.0,1.0,8.0,1.0,1.0,1.0,2.0,3.0,1.0,61.0,2.0,2.0,6.0,2.0,1.0,5130.0,24907.0,1.0,0.0,0.0,23.0,4.0,4.0,80.0,1.0,10.0,3.0,3.0,10.0,7.0,1.0,7.0,2565.0,9.0,40.0,104.6938775510204,0.20408163265306123,0.2,2565.0,0.1,1.1,5643.000000000001,8.638348312972704,40.0,20.0,8.0,5130.0,10.0,26316900.0,51300.0,100.0,8.543055850941965,40.0,2565.0,0.9918589619345723
37.0,1.0,2.0,1373.0,1.0,2.0,2.0,4.0,1.0,4.0,4.0,1.0,92.0,2.0,1.0,2.0,3.0,2.0,2090.0,2396.0,6.0,0.0,1.0,15.0,3.0,2.0,80.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,1567.5,0.0,0.0,56.486486486486484,0.1891891891891892,0.14285714285714285,2090.0,0.0,1.05,2194.5,7.694165090001772,0.0,0.0,9.0,2090.0,0.0,4368100.0,0.0,0.0,7.645397699428633,0.0,2090.0,0.2946911577922058
33.0,0.0,1.0,1392.0,1.0,3.0,4.0,1.0,1.0,5.0,4.0,0.0,56.0,3.0,1.0,6.0,3.0,1.0,2909.0,23159.0,1.0,0.0,1.0,11.0,3.0,3.0,80.0,0.0,8.0,3.0,3.0,8.0,7.0,3.0,0.0,2181.75,5.0,24.0,88.15151515151516,0.24242424242424243,0.125,2909.0,0.375,1.05,3054.4500000000003,8.02468216026719,24.0,24.0,9.0,2909.0,8.0,8462281.0,23272.0,64.0,7.975908360165538,24.0,2909.0,0.8893795750748881
27.0,0.0,2.0,591.0,1.0,2.0,1.0,3.0,1.0,7.0,1.0,1.0,40.0,3.0,1.0,2.0,2.0,1.0,3468.0,16632.0,9.0,0.0,0.0,12.0,3.0,4.0,80.0,1.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,1734.0,0.0,6.0,128.44444444444446,0.2222222222222222,0.16666666666666666,3468.0,1.0,1.05,3641.4,8.200398084020572,6.0,4.0,6.0,3468.0,2.0,12027024.0,6936.0,4.0,8.15162164696975,6.0,3468.0,0.6592303521066605
32.0,0.0,1.0,1005.0,1.0,2.0,2.0,1.0,1.0,8.0,4.0,1.0,79.0,3.0,1.0,2.0,4.0,2.0,3068.0,11864.0,0.0,0.0,0.0,13.0,3.0,3.0,80.0,0.0,8.0,2.0,2.0,7.0,7.0,3.0,6.0,3068.0,4.0,21.0,95.875,0.25,0.125,3068.0,0.42857142857142855,1.05,3221.4,8.077881702524243,21.0,28.0,12.0,3068.0,7.0,9412624.0,21476.0,49.0,8.029107054619736,21.0,3068.0,0.9751453609766596
59.0,0.0,2.0,1324.0,1.0,3.0,3.0,3.0,1.0,10.0,3.0,0.0,81.0,4.0,1.0,2.0,1.0,1.0,2670.0,9964.0,4.0,0.0,1.0,20.0,4.0,1.0,80.0,3.0,12.0,3.0,2.0,1.0,0.0,0.0,0.0,667.5,1.0,4.0,45.25423728813559,0.2033898305084746,0.08333333333333333,2670.0,0.0,1.1,2937.0000000000005,7.9854843567338225,4.0,1.0,4.0,2670.0,1.0,7128900.0,2670.0,1.0,7.890208213109961,4.0,2670.0,0.6642563408908307
30.0,0.0,2.0,1358.0,1.0,24.0,1.0,1.0,1.0,11.0,4.0,1.0,67.0,3.0,1.0,2.0,3.0,0.0,2693.0,13335.0,1.0,0.0,0.0,22.0,4.0,2.0,80.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,2019.75,1.0,4.0,89.76666666666667,0.03333333333333333,1.0,2693.0,0.0,1.1,2962.3,7.994058791182649,4.0,3.0,12.0,2693.0,1.0,7252249.0,2693.0,1.0,7.898782356970309,4.0,2693.0,0.9093792738654485
38.0,0.0,1.0,216.0,1.0,23.0,3.0,1.0,1.0,12.0,4.0,1.0,44.0,2.0,3.0,4.0,3.0,2.0,9526.0,8787.0,0.0,0.0,0.0,21.0,4.0,2.0,80.0,0.0,10.0,2.0,3.0,9.0,7.0,1.0,8.0,7144.5,8.0,36.0,250.68421052631578,0.2631578947368421,0.3,3175.3333333333335,0.1111111111111111,1.1,10478.6,9.257185789207687,36.0,27.0,12.0,9526.0,9.0,90744676.0,85734.0,81.0,9.161885151706779,36.0,3175.3333333333335,0.9828648438835392
36.0,0.0,2.0,1299.0,1.0,27.0,3.0,3.0,1.0,13.0,3.0,1.0,94.0,3.0,2.0,0.0,3.0,1.0,5237.0,16577.0,6.0,0.0,0.0,13.0,3.0,2.0,80.0,2.0,17.0,3.0,2.0,7.0,7.0,7.0,7.0,3927.75,0.0,21.0,145.47222222222223,0.4722222222222222,0.11764705882352941,2618.5,1.0,1.05,5498.85,8.612476098121382,21.0,21.0,9.0,5237.0,7.0,27426169.0,36659.0,49.0,8.563695025067657,21.0,2618.5,0.8837848508469484
35.0,0.0,2.0,809.0,1.0,16.0,3.0,3.0,1.0,14.0,1.0,1.0,84.0,4.0,1.0,2.0,2.0,1.0,2426.0,16479.0,0.0,0.0,0.0,13.0,3.0,3.0,80.0,1.0,6.0,5.0,3.0,5.0,4.0,0.0,3.0,1213.0,5.0,15.0,69.31428571428572,0.17142857142857143,0.16666666666666666,2426.0,0.0,1.05,2547.3,7.843181749164768,15.0,10.0,6.0,2426.0,5.0,5885476.0,12130.0,25.0,7.794411205726601,15.0,2426.0,0.9425624007284633
29.0,0.0,2.0,153.0,1.0,15.0,2.0,1.0,1.0,15.0,4.0,0.0,49.0,2.0,2.0,2.0,3.0,2.0,4193.0,12682.0,0.0,0.0,1.0,12.0,3.0,4.0,80.0,0.0,10.0,3.0,3.0,9.0,5.0,0.0,8.0,3144.75,9.0,27.0,144.58620689655172,0.3448275862068966,0.2,2096.5,0.0,1.05,4402.650000000001,8.390189021478232,27.0,27.0,9.0,4193.0,9.0,17581249.0,37737.0,81.0,8.341410211461865,27.0,2096.5,0.8840785687455099
31.0,0.0,2.0,670.0,1.0,26.0,1.0,1.0,1.0,16.0,1.0,1.0,31.0,3.0,1.0,6.0,3.0,0.0,2911.0,15170.0,1.0,0.0,0.0,17.0,3.0,4.0,80.0,1.0,5.0,1.0,2.0,5.0,2.0,4.0,3.0,2183.25,1.0,15.0,93.90322580645162,0.16129032258064516,0.2,2911.0,0.8,1.05,3056.55,8.025369220657378,15.0,15.0,9.0,2911.0,5.0,8473921.0,14555.0,25.0,7.976595409316577,15.0,2911.0,0.882540662509987
34.0,0.0,2.0,1346.0,1.0,19.0,2.0,3.0,1.0,18.0,2.0,1.0,93.0,3.0,1.0,2.0,4.0,0.0,2661.0,8758.0,0.0,0.0,0.0,11.0,3.0,3.0,80.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2661.0,1.0,6.0,78.26470588235294,0.08823529411764706,0.3333333333333333,2661.0,0.5,1.05,2794.05,7.935605274516848,6.0,8.0,12.0,2661.0,2.0,7080921.0,5322.0,4.0,7.8868329989550565,6.0,2661.0,0.9688821726150022
28.0,1.0,2.0,103.0,1.0,24.0,3.0,1.0,1.0,19.0,3.0,1.0,50.0,2.0,1.0,2.0,3.0,2.0,2028.0,12947.0,5.0,0.0,1.0,14.0,3.0,2.0,80.0,0.0,6.0,4.0,3.0,4.0,2.0,0.0,3.0,1521.0,4.0,12.0,72.42857142857143,0.21428571428571427,0.16666666666666666,2028.0,0.0,1.05,2129.4,7.664065034499722,12.0,12.0,9.0,2028.0,4.0,4112784.0,8112.0,16.0,7.615298339825815,12.0,2028.0,0.11794537771457092
29.0,0.0,2.0,1389.0,1.0,21.0,4.0,1.0,1.0,20.0,2.0,0.0,51.0,4.0,3.0,4.0,1.0,0.0,9980.0,10195.0,1.0,0.0,0.0,11.0,3.0,3.0,80.0,1.0,10.0,1.0,3.0,10.0,9.0,8.0,8.0,2495.0,2.0,30.0,344.13793103448273,0.3448275862068966,0.3,3326.6666666666665,0.8,1.05,10479.0,9.257223957875032,30.0,10.0,3.0,9980.0,10.0,99600400.0,99800.0,100.0,9.208438564686587,30.0,3326.6666666666665,0.9868368966486959
32.0,0.0,2.0,334.0,1.0,5.0,2.0,1.0,1.0,21.0,1.0,1.0,80.0,4.0,1.0,6.0,2.0,0.0,3298.0,15053.0,0.0,0.0,1.0,12.0,3.0,4.0,80.0,2.0,7.0,5.0,2.0,6.0,2.0,0.0,5.0,1649.0,6.0,18.0,103.0625,0.21875,0.14285714285714285,3298.0,0.0,1.05,3462.9,8.15015040090535,18.0,12.0,6.0,3298.0,6.0,10876804.0,19788.0,36.0,8.101374671228582,18.0,3298.0,0.9188374952891201
22.0,0.0,0.0,1123.0,1.0,16.0,2.0,3.0,1.0,22.0,4.0,1.0,96.0,4.0,1.0,2.0,4.0,0.0,2935.0,7324.0,1.0,0.0,1.0,13.0,3.0,2.0,80.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,2935.0,1.0,3.0,133.4090909090909,0.045454545454545456,1.0,2935.0,0.0,1.05,3081.75,8.033577334750639,3.0,4.0,12.0,2935.0,1.0,8614225.0,2935.0,1.0,7.984803389734406,3.0,2935.0,0.676838529837583
